taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason
132411	Acanthurus blochii	Acanthurus	Acanthuridae	Acanthuridae	Dark Surgeonfish	13	1337	False	False	False	ineligible	below_regional_or_global_threshold
187000	Acanthurus maculiceps	Acanthurus	Acanthuridae	Acanthuridae	Spotted-face Surgeonfish	10	71	False	False	False	ineligible	below_regional_or_global_threshold
187003	Acanthurus nubilus	Acanthurus	Acanthuridae	Acanthuridae	Bluelined Surgeonfish	7	28	False	False	False	ineligible	below_regional_or_global_threshold
188105	Prionurus chrysurus	Prionurus	Acanthuridae	Acanthuridae	Indonesian Sawtail	7	7	False	False	False	ineligible	below_regional_or_global_threshold
132367	Acanthurus grammoptilus	Acanthurus	Acanthuridae	Acanthuridae	Inshore Surgeonfish	6	67	False	False	False	ineligible	below_regional_or_global_threshold
187729	Naso fageni	Naso	Acanthuridae	Acanthuridae	Horseface Unicornfish	6	34	False	False	False	ineligible	below_regional_or_global_threshold
187736	Naso tonganus	Naso	Acanthuridae	Acanthuridae	Humpnose Unicornfish	6	204	False	False	False	ineligible	below_regional_or_global_threshold
123529	Acanthurus guttatus	Acanthurus	Acanthuridae	Acanthuridae	Whitespotted Surgeonfish	4	705	False	False	False	ineligible	below_regional_or_global_threshold
180388	Zebrasoma desjardinii	Zebrasoma	Acanthuridae	Acanthuridae	Indian Sailfin Tang	4	1944	False	False	False	ineligible	below_regional_or_global_threshold
187283	Ctenochaetus truncatus	Ctenochaetus	Acanthuridae	Acanthuridae	Indian Gold-ring Bristletooth	3	295	False	False	False	ineligible	below_regional_or_global_threshold
187728	Naso caesius	Naso	Acanthuridae	Acanthuridae	Grey Unicornfish	3	89	False	False	False	ineligible	below_regional_or_global_threshold
607811	Naso tergus	Naso	Acanthuridae	Acanthuridae	Taiwanese Unicornfish	1	2	False	False	False	ineligible	below_regional_or_global_threshold
69760	Acanthurus achilles	Acanthurus	Acanthuridae	Acanthuridae	Achilles Tang	0	565	False	False	False	ineligible	below_regional_or_global_threshold
623671	Acanthurus albimento	Acanthurus	Acanthuridae	Acanthuridae	Whitechin Surgeonfish	0	1	False	False	False	ineligible	below_regional_or_global_threshold
186994	Acanthurus albipectoralis	Acanthurus	Acanthuridae	Acanthuridae	Whitefin Surgeonfish	0	47	False	False	False	ineligible	below_regional_or_global_threshold
1032318	Acanthurus bahianus	Acanthurus	Acanthuridae	Acanthuridae	Brazilian Ocean Surgeonfish	0	91	False	False	False	ineligible	below_regional_or_global_threshold
121195	Acanthurus chirurgus	Acanthurus	Acanthuridae	Acanthuridae	Doctorfish	0	1819	False	False	False	ineligible	below_regional_or_global_threshold
121196	Acanthurus coeruleus	Acanthurus	Acanthuridae	Acanthuridae	Atlantic Blue Tang	0	8366	False	False	False	ineligible	below_regional_or_global_threshold
93074	Acanthurus gahhm	Acanthurus	Acanthuridae	Acanthuridae	Black Surgeonfish	0	162	False	False	False	ineligible	below_regional_or_global_threshold
55376	Acanthurus leucopareius	Acanthurus	Acanthuridae	Acanthuridae	Whitebar Surgeonfish	0	816	False	False	False	ineligible	below_regional_or_global_threshold
187001	Acanthurus monroviae	Acanthurus	Acanthuridae	Acanthuridae	Monrovia Doctorfish	0	149	False	False	False	ineligible	below_regional_or_global_threshold
187002	Acanthurus nigroris	Acanthurus	Acanthuridae	Acanthuridae	Blueline Surgeonfish	0	110	False	False	False	ineligible	below_regional_or_global_threshold
1315890	Acanthurus nigros	Acanthurus	Acanthuridae	Acanthuridae	Greyhead Surgeonfish	0	39	False	False	False	ineligible	below_regional_or_global_threshold
187004	Acanthurus polyzona	Acanthurus	Acanthuridae	Acanthuridae	Black-barred Surgeonfish	0	33	False	False	False	ineligible	below_regional_or_global_threshold
187005	Acanthurus reversus	Acanthurus	Acanthuridae	Acanthuridae	Marquesan Surgeonfish	0	7	False	False	False	ineligible	below_regional_or_global_threshold
1315888	Acanthurus sandvicensis	Acanthurus	Acanthuridae	Acanthuridae	Hawaiian Convict Surgeonfish	0	3549	False	False	False	ineligible	below_regional_or_global_threshold
187006	Acanthurus sohal	Acanthurus	Acanthuridae	Acanthuridae	Sohal Surgeonfish	0	1509	False	False	False	ineligible	below_regional_or_global_threshold
871060	Acanthurus tractus	Acanthurus	Acanthuridae	Acanthuridae	Caribbean Ocean Surgeonfish	0	4046	False	False	False	ineligible	below_regional_or_global_threshold
187281	Ctenochaetus flavicauda	Ctenochaetus	Acanthuridae	Acanthuridae	Whitetail Bristletooth	0	85	False	False	False	ineligible	below_regional_or_global_threshold
122516	Ctenochaetus hawaiiensis	Ctenochaetus	Acanthuridae	Acanthuridae	Hawaiian Bristletooth	0	153	False	False	False	ineligible	below_regional_or_global_threshold
123528	Ctenochaetus marginatus	Ctenochaetus	Acanthuridae	Acanthuridae	Blue-spotted Bristletooth	0	173	False	False	False	ineligible	below_regional_or_global_threshold
47617	Ctenochaetus strigosus	Ctenochaetus	Acanthuridae	Acanthuridae	Goldring Surgeonfish	0	1038	False	False	False	ineligible	below_regional_or_global_threshold
187737	Naso tuberosus	Naso	Acanthuridae	Acanthuridae	Humphead Unicornfish	0	2	False	False	False	ineligible	below_regional_or_global_threshold
188104	Prionurus biafraensis	Prionurus	Acanthuridae	Acanthuridae	Biafra Doctorfish	0	11	False	False	False	ineligible	below_regional_or_global_threshold
56772	Prionurus laticlavius	Prionurus	Acanthuridae	Acanthuridae	Razor Surgeonfish	0	3148	False	False	False	ineligible	below_regional_or_global_threshold
188106	Prionurus maculatus	Prionurus	Acanthuridae	Acanthuridae	Spotted Sawtail	0	269	False	False	False	ineligible	below_regional_or_global_threshold
188107	Prionurus microlepidotus	Prionurus	Acanthuridae	Acanthuridae	Australian Sawtail	0	819	False	False	False	ineligible	below_regional_or_global_threshold
188108	Prionurus scalprum	Prionurus	Acanthuridae	Acanthuridae	Scalpel Sawtail	0	174	False	False	False	ineligible	below_regional_or_global_threshold
52459	Zebrasoma flavescens	Zebrasoma	Acanthuridae	Acanthuridae	Yellow Tang	0	2580	False	False	False	ineligible	below_regional_or_global_threshold
188622	Zebrasoma gemmatum	Zebrasoma	Acanthuridae	Acanthuridae	Gem Tang	0	34	False	False	False	ineligible	below_regional_or_global_threshold
188623	Zebrasoma rostratum	Zebrasoma	Acanthuridae	Acanthuridae	Black Tang	0	20	False	False	False	ineligible	below_regional_or_global_threshold
52458	Zebrasoma xanthurum	Zebrasoma	Acanthuridae	Acanthuridae	Purple Tang	0	924	False	False	False	ineligible	below_regional_or_global_threshold
123690	Caranx melampygus	Caranx	Carangidae	Carangidae	Bluefin Trevally	479	4769	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
153280	Caranx ignobilis	Caranx	Carangidae	Carangidae	Giant Trevally	198	1666	True	True	True	common_target_pretraining	requested_target_meets_abundance_thresholds
47228	Caranx sexfasciatus	Caranx	Carangidae	Carangidae	Bigeye Trevally	291	2413	True	False	True	broad_pretraining	regional_and_global_abundance
1360061	Flavocaranx bajad	Flavocaranx	Carangidae	Carangidae	Orange-spotted Trevally	262	899	True	False	True	broad_pretraining	regional_and_global_abundance
122033	Elagatis bipinnulata	Elagatis	Carangidae	Carangidae	Rainbow Runner	72	709	True	False	True	broad_pretraining	regional_and_global_abundance
194896	Gnathanodon speciosus	Gnathanodon	Carangidae	Carangidae	Golden Trevally	88	1072	True	False	True	novel_evaluation	held_out_for_unseen_species_evaluation
1360081	Craterognathus plagiotaenia	Craterognathus	Carangidae	Carangidae	Barcheek Trevally	103	410	False	False	False	ineligible	below_regional_or_global_threshold
424880	Selar boops	Selar	Carangidae	Carangidae	Oxeye Scad	59	133	False	False	False	ineligible	below_regional_or_global_threshold
