taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason	estimated_accepted_observations	planned_accepted_target
132409	Acanthurus mata	Acanthurus	Acanthuridae	Acanthuridae	Yellowmask Surgeonfish	0	83	False	False	False	ineligible	below_required_observation_threshold	29	0
187001	Acanthurus monroviae	Acanthurus	Acanthuridae	Acanthuridae	Monrovia Doctorfish	0	25	False	False	False	ineligible	below_required_observation_threshold	9	0
187002	Acanthurus nigroris	Acanthurus	Acanthuridae	Acanthuridae	Blueline Surgeonfish	0	12	False	False	False	ineligible	below_required_observation_threshold	4	0
1315890	Acanthurus nigros	Acanthurus	Acanthuridae	Acanthuridae	Greyhead Surgeonfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
187004	Acanthurus polyzona	Acanthurus	Acanthuridae	Acanthuridae	Black-barred Surgeonfish	0	12	False	False	False	ineligible	below_required_observation_threshold	4	0
187005	Acanthurus reversus	Acanthurus	Acanthuridae	Acanthuridae	Marquesan Surgeonfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
187006	Acanthurus sohal	Acanthurus	Acanthuridae	Acanthuridae	Sohal Surgeonfish	0	220	False	False	False	ineligible	below_required_observation_threshold	76	0
121705	Acanthurus tennentii	Acanthurus	Acanthuridae	Acanthuridae	Lieutenant Surgeonfish	0	38	False	False	False	ineligible	below_required_observation_threshold	13	0
122689	Acanthurus thompsoni	Acanthurus	Acanthuridae	Acanthuridae	Whitetail Surgeonfish	0	60	False	False	False	ineligible	below_required_observation_threshold	21	0
187007	Acanthurus tristis	Acanthurus	Acanthuridae	Acanthuridae	Mimic Surgeonfish	0	15	False	False	False	ineligible	below_required_observation_threshold	5	0
187279	Ctenochaetus binotatus	Ctenochaetus	Acanthuridae	Acanthuridae	Twospot Bristletooth	0	137	False	False	False	ineligible	below_required_observation_threshold	47	0
187280	Ctenochaetus cyanocheilus	Ctenochaetus	Acanthuridae	Acanthuridae	Bluelip Bristletooth	0	63	False	False	False	ineligible	below_required_observation_threshold	22	0
187281	Ctenochaetus flavicauda	Ctenochaetus	Acanthuridae	Acanthuridae	Whitetail Bristletooth	0	13	False	False	False	ineligible	below_required_observation_threshold	4	0
122516	Ctenochaetus hawaiiensis	Ctenochaetus	Acanthuridae	Acanthuridae	Hawaiian Bristletooth	0	11	False	False	False	ineligible	below_required_observation_threshold	4	0
123528	Ctenochaetus marginatus	Ctenochaetus	Acanthuridae	Acanthuridae	Blue-spotted Bristletooth	0	42	False	False	False	ineligible	below_required_observation_threshold	15	0
47617	Ctenochaetus strigosus	Ctenochaetus	Acanthuridae	Acanthuridae	Goldring Surgeonfish	0	89	False	False	False	ineligible	below_required_observation_threshold	31	0
187282	Ctenochaetus tominiensis	Ctenochaetus	Acanthuridae	Acanthuridae	Orange-tip Bristletooth	0	19	False	False	False	ineligible	below_required_observation_threshold	7	0
187283	Ctenochaetus truncatus	Ctenochaetus	Acanthuridae	Acanthuridae	Indian Gold-ring Bristletooth	0	41	False	False	False	ineligible	below_required_observation_threshold	14	0
132407	Naso annulatus	Naso	Acanthuridae	Acanthuridae	Whitemargin Unicornfish	0	25	False	False	False	ineligible	below_required_observation_threshold	9	0
83879	Naso brevirostris	Naso	Acanthuridae	Acanthuridae	Paletail Unicornfish	0	166	False	False	False	ineligible	below_required_observation_threshold	57	0
187727	Naso caeruleacauda	Naso	Acanthuridae	Acanthuridae	Blue Unicornfish	0	7	False	False	False	ineligible	below_required_observation_threshold	2	0
187728	Naso caesius	Naso	Acanthuridae	Acanthuridae	Grey Unicornfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
52452	Naso elegans	Naso	Acanthuridae	Acanthuridae	Elegant Unicornfish	0	193	False	False	False	ineligible	below_required_observation_threshold	67	0
187729	Naso fageni	Naso	Acanthuridae	Acanthuridae	Horseface Unicornfish	0	6	False	False	False	ineligible	below_required_observation_threshold	2	0
121458	Naso hexacanthus	Naso	Acanthuridae	Acanthuridae	Sleek Unicornfish	0	63	False	False	False	ineligible	below_required_observation_threshold	22	0
187730	Naso lopezi	Naso	Acanthuridae	Acanthuridae	Slender Unicornfish	0	6	False	False	False	ineligible	below_required_observation_threshold	2	0
187732	Naso mcdadei	Naso	Acanthuridae	Acanthuridae	Squarenose Unicornfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
187733	Naso minor	Naso	Acanthuridae	Acanthuridae	Blackspine Unicornfish	0	14	False	False	False	ineligible	below_required_observation_threshold	5	0
187735	Naso thynnoides	Naso	Acanthuridae	Acanthuridae	Onespine Unicornfish	0	5	False	False	False	ineligible	below_required_observation_threshold	2	0
187736	Naso tonganus	Naso	Acanthuridae	Acanthuridae	Humpnose Unicornfish	0	13	False	False	False	ineligible	below_required_observation_threshold	4	0
130879	Paracanthurus hepatus	Paracanthurus	Acanthuridae	Acanthuridae	Palette Tang	0	49	False	False	False	ineligible	below_required_observation_threshold	17	0
188104	Prionurus biafraensis	Prionurus	Acanthuridae	Acanthuridae	Biafra Doctorfish	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
188106	Prionurus maculatus	Prionurus	Acanthuridae	Acanthuridae	Spotted Sawtail	0	38	False	False	False	ineligible	below_required_observation_threshold	13	0
188107	Prionurus microlepidotus	Prionurus	Acanthuridae	Acanthuridae	Australian Sawtail	0	17	False	False	False	ineligible	below_required_observation_threshold	6	0
188108	Prionurus scalprum	Prionurus	Acanthuridae	Acanthuridae	Scalpel Sawtail	0	20	False	False	False	ineligible	below_required_observation_threshold	7	0
180388	Zebrasoma desjardinii	Zebrasoma	Acanthuridae	Acanthuridae	Indian Sailfin Tang	0	246	False	False	False	ineligible	below_required_observation_threshold	85	0
188622	Zebrasoma gemmatum	Zebrasoma	Acanthuridae	Acanthuridae	Gem Tang	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
188623	Zebrasoma rostratum	Zebrasoma	Acanthuridae	Acanthuridae	Black Tang	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
52458	Zebrasoma xanthurum	Zebrasoma	Acanthuridae	Acanthuridae	Purple Tang	0	127	False	False	False	ineligible	below_required_observation_threshold	44	0
121738	Aetobatus ocellatus	Aetobatus	Aetobatidae	Aetobatidae	White-spotted Eagle Ray	0	256	True	False	True	broad_pretraining	global_licensed_abundance	89	100
1303461	Aetobatus laticeps	Aetobatus	Aetobatidae	Aetobatidae	Pacific Eagle Ray	0	87	False	False	False	ineligible	below_required_observation_threshold	30	0
49297	Aetobatus narinari	Aetobatus	Aetobatidae	Aetobatidae	Spotted Eagle Ray	0	217	False	False	False	ineligible	below_required_observation_threshold	75	0
607458	Aetobatus narutobiei	Aetobatus	Aetobatidae	Aetobatidae	Naru Eagle Ray	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
127530	Pseudanthias squamipinnis	Pseudanthias	Anthiadidae	Anthiadidae	Lyretail Anthias	0	342	True	False	True	broad_pretraining	global_licensed_abundance	118	100
447796	Acanthistius cinctus	Acanthistius	Anthiadidae	Anthiadidae	Yellowbanded Wirrah	0	25	False	False	False	ineligible	below_required_observation_threshold	9	0
620550	Acanthistius joanae	Acanthistius	Anthiadidae	Anthiadidae	Scalyjaw Koester	0	7	False	False	False	ineligible	below_required_observation_threshold	2	0
93040	Acanthistius ocellatus	Acanthistius	Anthiadidae	Anthiadidae	Eastern Wirrah	0	15	False	False	False	ineligible	below_required_observation_threshold	5	0
530805	Acanthistius pardalotus	Acanthistius	Anthiadidae	Anthiadidae	Leopard Wirrah	0	4	False	False	False	ineligible	below_required_observation_threshold	1	0
620551	Acanthistius patachonicus	Acanthistius	Anthiadidae	Anthiadidae	Patagonian Seabass	0	9	False	False	False	ineligible	below_required_observation_threshold	3	0
620552	Acanthistius sebastoides	Acanthistius	Anthiadidae	Anthiadidae	Koester	0	26	False	False	False	ineligible	below_required_observation_threshold	9	0
530807	Acanthistius serratus	Acanthistius	Anthiadidae	Anthiadidae	Western Wirrah	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
118672	Anthias anthias	Anthias	Anthiadidae	Anthiadidae	Mediterranean Fairy Basslet	0	29	False	False	False	ineligible	below_required_observation_threshold	10	0
620554	Anthias asperilinguis	Anthias	Anthiadidae	Anthiadidae	Jeweled Gemfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
447805	Caesioperca lepidoptera	Caesioperca	Anthiadidae	Anthiadidae	Red Perch	0	26	False	False	False	ineligible	below_required_observation_threshold	9	0
