taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
52457	Chaetodon auriga	Chaetodon	Chaetodontidae	Chaetodontidae	897	broad_pretraining	200	200	0	0.387977	348	200	primary_train	v3_exact_label_count_meets_minimum
100990	Forcipiger flavissimus	Forcipiger	Chaetodontidae	Chaetodontidae	328	broad_pretraining	157	157	0	0.387977	127	200	primary_train	v3_exact_label_count_meets_minimum
85124	Johnrandallia nigrirostris	Johnrandallia	Chaetodontidae	Chaetodontidae	380	broad_pretraining	107	107	0	0.387977	147	200	primary_train	v3_exact_label_count_meets_minimum
97150	Chaetodon citrinellus	Chaetodon	Chaetodontidae	Chaetodontidae	302	eligible_not_selected			0	0.387977	117	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
97157	Chaetodon ephippium	Chaetodon	Chaetodontidae	Chaetodontidae	280	eligible_not_selected			0	0.387977	109	200	reserve_backfill	near_minimum_or_projection_uncertain
55534	Chaetodon humeralis	Chaetodon	Chaetodontidae	Chaetodontidae	361	eligible_not_selected			0	0.387977	140	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
47316	Chaetodon lunula	Chaetodon	Chaetodontidae	Chaetodontidae	564	eligible_not_selected			0	0.387977	219	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
48743	Chaetodon lunulatus	Chaetodon	Chaetodontidae	Chaetodontidae	578	eligible_not_selected			0	0.387977	224	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
97174	Chaetodon melannotus	Chaetodon	Chaetodontidae	Chaetodontidae	306	eligible_not_selected			0	0.387977	119	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
49273	Chaetodon ocellatus	Chaetodon	Chaetodontidae	Chaetodontidae	263	eligible_not_selected			0	0.387977	102	200	reserve_backfill	near_minimum_or_projection_uncertain
52454	Chaetodon ornatissimus	Chaetodon	Chaetodontidae	Chaetodontidae	352	eligible_not_selected			0	0.387977	137	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
97202	Chaetodon striatus	Chaetodon	Chaetodontidae	Chaetodontidae	376	eligible_not_selected			0	0.387977	146	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
97207	Chaetodon trifascialis	Chaetodon	Chaetodontidae	Chaetodontidae	410	eligible_not_selected			0	0.387977	159	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
97208	Chaetodon ulietensis	Chaetodon	Chaetodontidae	Chaetodontidae	270	eligible_not_selected			0	0.387977	105	200	reserve_backfill	near_minimum_or_projection_uncertain
48747	Chaetodon vagabundus	Chaetodon	Chaetodontidae	Chaetodontidae	528	eligible_not_selected			0	0.387977	205	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
